,player_name,season,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,fantasy_points,fantasy_points_ppr,team,fantasy_points_standard,fantasy_points_half_ppr,ir_games,out_games,total_missed_games,pass_tds/game,pass_air_yards/game,carries/game,rushing_tds/game,receiving_tds/game,turnovers/game,targets_game,height,weight,years_exp,next_season,standard/game,ppr/game,half_ppr/game,rushing_tds_team_qbs_sum,aggressiveness_team_qbs_mean,pick_team_qbs_mean,years_exp_team_qbs_mean,turnovers/game_team_qbs_mean,carries/game_team_qbs_mean,completion_percentage_above_expectation_team_qbs_mean,passing_epa_team_qbs_mean,num_team_qbs,receiving_tds_team_wrs_sum,air_yards_share_team_wrs_sum,avg_cushion_team_wrs_mean,avg_separation_team_wrs_mean,avg_yac_above_expectation_team_wrs_mean,catch_percentage_team_wrs_mean,height_team_wrs_mean,receiving_epa_team_wrs_mean,pick_team_wrs_mean,num_team_wrs,receiving_tds_team_rbs_sum,carries_team_rbs_sum,receiving_yards_team_rbs_sum,air_yards_share_team_rbs_sum,years_exp_team_rbs_mean,age_team_rbs_mean,weight_team_rbs_mean,percent_attempts_gte_eight_defenders_team_rbs_mean,avg_time_to_los_team_rbs_mean,receiving_epa_team_rbs_mean,rushing_epa_team_rbs_mean,pick_team_rbs_mean,num_team_rbs,receiving_tds_team_tes_sum,receiving_yards_team_tes_sum,air_yards_share_team_tes_sum,catch_percentage_team_tes_mean,wopr_team_tes_mean,percent_share_of_intended_air_yards_team_tes_mean,receiving_epa_team_tes_mean,num_team_tes,rushing_tds_other_team_qbs,aggressiveness_other_team_qbs,pick_other_team_qbs,years_exp_other_team_qbs,turnovers/game_other_team_qbs,carries/game_other_team_qbs,completion_percentage_above_expectation_other_team_qbs,passing_epa_other_team_qbs,receiving_tds_other_team_wrs,air_yards_share_other_team_wrs,avg_cushion_other_team_wrs,avg_separation_other_team_wrs,avg_yac_above_expectation_other_team_wrs,catch_percentage_other_team_wrs,height_other_team_wrs,receiving_epa_other_team_wrs,pick_other_team_wrs,receiving_tds_other_team_rbs,carries_other_team_rbs,receiving_yards_other_team_rbs,air_yards_share_other_team_rbs,years_exp_other_team_rbs,age_other_team_rbs,weight_other_team_rbs,percent_attempts_gte_eight_defenders_other_team_rbs,avg_time_to_los_other_team_rbs,receiving_epa_other_team_rbs,rushing_epa_other_team_rbs,pick_other_team_rbs,receiving_tds_other_team_tes,receiving_yards_other_team_tes,air_yards_share_other_team_tes,catch_percentage_other_team_tes,wopr_other_team_tes,percent_share_of_intended_air_yards_other_team_tes,receiving_epa_other_team_tes,future_half_ppr/game
4778,Frank Gore,2019,16,0,0,0,0,0,0,0,0,0,0,0,0,0,166,599,2,0,0,33,0,13,16,100,0,0,0,14,88,5,0,0.032989690721649485,0.002987622705932565,0.051575871976627025,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.9,94.9,FA,81.9,88.4,0,0,0,0.0,0.0,10.375,0.125,0.0,0.0,1.0,69.0,212.0,14.0,2018,5.2625,5.93125,5.525,16.0,15.764257694568895,104.16666666666667,7.2894736842105265,0.3503289473684211,0.6101973684210527,-1.2894865279528946,0.20349807717131144,38.0,289.0,15.580256892429679,5.966619546941411,2.8165281554692787,0.4409536767823288,60.13475185321601,72.44171779141104,8.513199555475534,132.27659574468086,163.0,59.0,7597.0,13536.0,0.3896202509427328,3.341463414634146,23.6734693877551,217.21138211382114,24.69368979308525,2.750363219688762,-0.5309148784103498,-6.7619010957019805,138.16326530612244,123.0,119.0,14599.0,3.312793191842841,66.05740588607196,0.09030000391707786,13.585651122166924,4.193199255603478,91.0,14.0,16.19031871334103,106.98198198198199,7.108108108108108,0.3597972972972973,0.34628378378378377,-1.3243375151948649,0.2089980252029685,289.0,15.577269269723747,6.003450531799074,2.8339141317376075,0.4436756130587629,60.505954025149435,72.46296296296295,8.558892574863423,133.09311794063566,59.0,7431.0,13436.0,0.3866326282368002,3.2540983606557377,23.867514218802274,217.25409836065575,24.58995448327151,2.7517582549409743,-0.5443726267140212,-6.548242654155767,139.29575108732016,119.0,14499.0,3.309805569136908,66.79137706258386,0.09073027204974954,13.736602801302112,4.227446687169766,5.7625
6577,Kyle Juszczyk,2020,16,0,0,0,0,0,0,0,0,0,0,0,0,0,17,64,2,0,0,12,0,19,29,202,4,1,0,188,101,10,0,0.052346570397111915,0.049696008458895054,0.1133070615168944,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.6,81.6,SFO,62.599999999999994,72.1,0,0,0,0.0,0.0,1.0625,0.125,0.25,0.0,1.8125,73.0,240.0,7.0,2019,2.7375,5.1,4.50625,,,,,,,,,,20.0,1.0035482690229016,5.994245636527215,2.9273071428855784,0.4808588855244216,60.57056681823437,72.57142857142857,20.62208338721359,139.2,7.0,5.0,76.0,351.0,0.05625896421971178,5.0,24.0,222.5,17.391304347826086,2.7541818181818187,4.063952289594454,4.380611499119982,8.0,2.0,2.0,634.0,0.12159661644197726,76.19047619047619,0.25569524883790395,11.569348972082128,36.21313993174728,1.0,,,,,,,,,16.0,0.9538522605640065,6.993286575948417,3.4151916666998416,0.5610020331118252,70.6656612879401,72.5,24.189732410096948,162.39999999999998,1.0,59.0,149.0,0.006562955760816724,3.0,48.0,205.0,34.78260869565217,5.5083636363636375,8.911715329275467,3.9336316051552327,16.0,-2.0,432.0,0.0719006079830822,,,,,3.4588235294117644
11403,Tyler Allgeier,2022,17,0,0,0,0,0,0,0,0,0,0,0,0,0,210,1035,3,0,0,54,1,16,17,139,1,0,0,-32,168,8,0,0.0425,-0.007934540044631788,0.05819582196875775,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.4,159.4,ATL,143.4,151.4,0,0,0,0.0,0.0,12.352941176470589,0.17647058823529413,0.058823529411764705,0.0,1.0,70.0,220.0,0.0,2021,7.03529411764706,9.376470588235295,8.905882352941177,2.0,14.774494556765164,,10.0,1.2352941176470589,1.8235294117647058,2.534262076437379,20.676406551715793,1.0,11.0,0.7616786674450478,7.725254231974921,3.593056103577107,1.1902665701815356,59.64466862827518,71.42857142857143,8.565162020448147,133.25,7.0,1.0,210.0,139.0,-0.007934540044631788,0.0,22.0,220.0,40.0,2.8730612244897964,7.1253192272852175,11.342579630698204,151.0,1.0,4.0,469.0,0.2677225690654857,47.45762711864407,0.11493564697509287,20.044206817753906,0.7657208471733833,4.0,-1.0,,,,,,,,10.0,0.7696132074896795,9.01279660397074,4.1918987875066245,1.3886443318784583,69.5854467329877,71.66666666666667,8.805135819308635,130.29166666666666,0.0,0.0,0.0,0.0,,,,,,,,,3.0,330.0,0.2756571091101175,63.27683615819209,0.13384892197720458,26.72560909033854,-1.3541452795305613,7.564705882352943
11087,Cam Akers,2022,17,0,0,0,0,0,0,0,0,0,0,0,0,0,188,786,7,2,2,39,0,13,18,117,0,0,0,34,136,8,0,0.03481624758220503,0.009159482758620689,0.05863600930434203,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.3,141.3,MIN,128.3,134.8,0,0,0,0.0,0.0,11.058823529411764,0.4117647058823529,0.0,0.11764705882352941,1.0588235294117647,70.0,212.0,2.0,2021,2.1,8.311764705882354,7.929411764705883,1.0,17.02898550724638,2.0,6.0,0.8235294117647058,1.2941176470588236,-3.4436936051571365,-39.92165213974798,1.0,16.0,0.6817028251309986,6.103932420695551,3.264303713348276,0.6058660212505662,72.0500159633134,72.0,21.483552105337843,87.33333333333333,5.0,5.0,454.0,598.0,0.018148772148156415,2.6,24.666666666666668,216.6,28.18028956027158,2.8501877380868503,2.516446550162263,0.3213255609269254,134.33333333333334,5.0,8.0,1063.0,0.29030732219577304,66.66666666666666,0.31377739030533375,22.241350732064944,5.184002292386236,2.0,-6.0,,,,,,,,16.0,0.6725433423723779,7.629915525869438,4.080379641685345,0.7573325265632078,90.06251995414175,72.5,25.8242224188417,96.16666666666666,5.0,266.0,481.0,0.008989289389535726,2.75,25.083333333333336,217.75,32.69876620565863,2.873364190680852,2.1153404748722213,3.7134508159870165,154.91666666666669,8.0,946.0,0.2811478394371524,133.33333333333331,0.5689187713063255,44.48270146412989,6.247133733450042,2.423529411764706
1310,Rob Kelley,2016,16,0,0,0,0,0,0,0,0,0,0,0,0,0,168,704,6,0,0,30,0,12,18,82,1,0,0,15,78,6,0,0.03035413153456998,0.0028317915801397016,0.04751345140795277,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.60000000000001,132.60000000000002,FA,120.60000000000002,126.60000000000002,0,0,0,0.0,0.0,10.5,0.375,0.0625,0.0,1.125,72.0,220.0,0.0,2015,2.45,8.287500000000001,7.912500000000001,28.0,21.37253128861048,104.0,6.407407407407407,0.4930555555555556,0.9803240740740741,2.133558955308417,10.120175374940613,54.0,421.0,21.17104860308307,5.903188680853804,2.674138995938816,-0.13224983612139687,57.02221872046637,72.34426229508196,10.010170083165017,112.0,183.0,95.0,11345.0,20328.0,0.8157754269115343,2.879194630872483,22.1875,217.4121212121212,24.13440447562543,2.6861428784934103,0.7739780333392378,-5.941897672974394,145.3125,165.0,179.0,26278.0,5.92952501078662,65.37527449648034,0.12500244618054046,14.411973767889533,7.05930789212457,111.0,22.0,21.775786595942755,105.9622641509434,6.528301886792453,0.5023584905660378,0.8007075471698113,2.173814784653859,10.311122080128172,420.0,21.16821681150293,5.935623783495857,2.688832067345073,-0.13297648357261332,57.33552761453487,72.34615384615384,10.069363442710417,112.61538461538461,94.0,11177.0,20246.0,0.8129436353313946,2.8967506956948763,22.322789634146343,217.39634146341464,24.143644456458222,2.686152013503479,0.7833499808236103,-5.93520268485082,146.1985518292683,178.0,26196.0,5.926693219206481,65.96959517372107,0.12570689158756398,14.542991711233983,7.1304199761811375,2.575
3684,Carlos Hyde,2018,16,0,0,0,0,0,0,0,0,0,0,0,0,0,172,571,5,2,1,32,0,10,16,33,0,0,0,-13,59,0,0,0.02872531418312388,-0.0023853211009174312,0.04141824650404362,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4,98.4,FA,88.4,93.4,0,0,0,0.0,0.0,10.75,0.3125,0.0,0.125,1.0,72.0,235.0,4.0,2017,8.95,6.15,5.8375,23.0,16.307026044197155,124.85714285714286,7.634146341463414,0.4603658536585366,0.9725609756097561,-3.2651786225022863,9.21493431283534,41.0,348.0,17.6443602508805,5.965991138476686,2.8129072858196076,0.550276525506746,61.741573038985344,72.46408839779005,9.288945083768146,121.8409090909091,181.0,90.0,8777.0,16806.0,0.612835292892458,3.1914893617021276,23.209302325581394,216.5035460992908,25.172926333368345,2.781140670078923,0.3370875390639246,-6.339402868434429,139.27906976744185,141.0,141.0,19030.0,4.57240369376689,66.54059921005052,0.10677733248447782,13.645631773746508,4.859539287722887,97.0,18.0,16.714701695302082,127.97857142857143,7.725,0.46875,0.728125,-3.3468080880648436,9.445307670656224,348.0,17.646745571981416,5.999135533690445,2.8285345485186055,0.5533336173151168,62.084581778090815,72.46666666666665,9.38185636083327,122.51780303030303,90.0,8605.0,16773.0,0.6152206139933754,3.1857142857142855,23.375083056478406,216.37142857142857,25.10771633873958,2.7800569409716442,0.392603055685482,-6.105665400673615,140.27392026578073,141.0,18997.0,4.574789014867807,67.23373045182187,0.10745815629677401,13.787773771389702,4.987608288511189,9.2625
1379,D.J. Foster,2016,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0,0,0,0,1,2,2,0,0,0,-2,5,0,0,0.003663003663003663,-0.0004692632566870014,0.005166021214824593,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,3.6,FA,2.6,3.1,0,0,0,0.0,0.0,0.4375,0.0,0.0,0.0,0.125,72.0,195.0,0.0,2015,0.9500000000000001,0.225,0.19375,28.0,21.37253128861048,104.0,6.407407407407407,0.4930555555555556,0.9803240740740741,2.133558955308417,10.120175374940613,54.0,421.0,21.17104860308307,5.903188680853804,2.674138995938816,-0.13224983612139687,57.02221872046637,72.34426229508196,10.010170083165017,112.0,183.0,95.0,11345.0,20328.0,0.8157754269115343,2.879194630872483,22.1875,217.4121212121212,24.13440447562543,2.6861428784934103,0.7739780333392378,-5.941897672974394,145.3125,165.0,179.0,26278.0,5.92952501078662,65.37527449648034,0.12500244618054046,14.411973767889533,7.05930789212457,111.0,28.0,21.775786595942755,105.9622641509434,6.528301886792453,0.5023584905660378,0.9905660377358491,2.173814784653859,10.311122080128172,421.0,21.171517866339755,5.935623783495857,2.688832067345073,-0.13297648357261332,57.33552761453487,72.34615384615384,10.07102494270461,112.61538461538461,95.0,11338.0,20326.0,0.8162446901682212,2.8967506956948763,22.322789634146343,217.5487804878049,24.281565478525586,2.7025217984842236,0.7851938405732634,-5.969740690005898,146.1985518292683,179.0,26276.0,5.929994274043308,65.96959517372107,0.12609186822568333,14.542991711233983,7.133169003444257,1.4812500000000002
8925,Nyheim Hines,2021,17,0,0,0,0,0,0,0,0,0,0,0,0,0,56,276,2,0,0,15,0,40,57,310,1,1,0,113,276,14,0,0.11354581673306773,0.02825,0.1900937250996016,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,23,170,4,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6,116.6,LAC,76.6,96.6,0,0,0,0.0,0.0,3.2941176470588234,0.11764705882352941,0.058823529411764705,0.0,3.3529411764705883,69.0,198.0,3.0,2020,3.0235294117647062,6.858823529411764,5.68235294117647,4.0,8.779761904761903,4.5,0.5,0.5294117647058824,2.9705882352941178,-8.738404523090502,66.1203156046039,2.0,8.0,0.3867726728461738,6.340356476297126,3.017183395690863,-0.378495318190855,62.70533020449213,72.5,9.948002787801006,21.0,2.0,4.0,363.0,777.0,0.025321412480288352,1.5,23.5,214.0,14.65798045602606,2.767067615658364,-0.21678702194939348,-7.694245145104231,64.0,2.0,4.0,824.0,0.12007584283403169,70.11494252873564,0.1960550588546416,10.555084056339515,11.557350961179761,2.0,2.0,17.559523809523807,-95.0,-2.0,1.0588235294117647,2.647058823529412,-17.476809046181003,132.2406312092078,7.0,0.3585226728461738,12.680712952594252,6.034366791381726,-0.75699063638171,125.41066040898426,76.0,15.557301804607752,-62.0,3.0,307.0,467.0,-0.0029285875197116486,0.0,23.0,230.0,29.31596091205212,5.534135231316728,-4.772277814893046,-19.3829167587877,24.0,3.0,514.0,0.0918258428340317,140.22988505747128,0.20201639260968163,21.11016811267903,18.775998151365265,3.905882352941177
4503,Gus Edwards,2018,16,0,0,0,0,0,0,0,0,0,0,0,0,0,137,718,2,0,0,37,1,2,2,20,0,0,0,3,17,1,0,0.0037105751391465678,0.0006246096189881324,0.006003089442011544,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.8,89.8,FA,87.8,88.8,0,0,0,0.0,0.0,8.5625,0.125,0.0,0.0,0.125,73.0,235.0,0.0,2017,5.3500000000000005,5.6125,5.55,23.0,16.307026044197155,124.85714285714286,7.634146341463414,0.4603658536585366,0.9725609756097561,-3.2651786225022863,9.21493431283534,41.0,348.0,17.6443602508805,5.965991138476686,2.8129072858196076,0.550276525506746,61.741573038985344,72.46408839779005,9.288945083768146,121.8409090909091,181.0,90.0,8777.0,16806.0,0.612835292892458,3.1914893617021276,23.209302325581394,216.5035460992908,25.172926333368345,2.781140670078923,0.3370875390639246,-6.339402868434429,139.27906976744185,141.0,141.0,19030.0,4.57240369376689,66.54059921005052,0.10677733248447782,13.645631773746508,4.859539287722887,97.0,21.0,16.714701695302082,127.97857142857143,7.825,0.471875,0.7828125,-3.3468080880648436,9.445307670656224,348.0,17.64373564126151,5.999135533690445,2.8285345485186055,0.5533336173151168,62.084581778090815,72.4611111111111,9.333566647700403,122.51780303030303,90.0,8640.0,16786.0,0.6122106832734698,3.2142857142857144,23.375083056478406,216.37142857142857,25.23281637026467,2.7836930929324284,0.33051628165750907,-6.472785541593904,140.27392026578073,141.0,19010.0,4.571779084147901,67.23373045182187,0.10782706418283684,13.787773771389702,4.8970650763870625,5.5687500000000005
3999,C.J. Prosise,2018,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0,0,0,0,3,3,22,0,0,0,5,17,0,0,0.0075,0.0013044612575006521,0.012163122880250456,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9000000000000001,4.9,FA,1.9000000000000004,3.4000000000000004,0,0,0,0.0,0.0,0.0625,0.0,0.0,0.0,0.1875,73.0,225.0,2.0,2017,1.175,0.30625,0.21250000000000002,23.0,16.307026044197155,124.85714285714286,7.634146341463414,0.4603658536585366,0.9725609756097561,-3.2651786225022863,9.21493431283534,41.0,348.0,17.6443602508805,5.965991138476686,2.8129072858196076,0.550276525506746,61.741573038985344,72.46408839779005,9.288945083768146,121.8409090909091,181.0,90.0,8777.0,16806.0,0.612835292892458,3.1914893617021276,23.209302325581394,216.5035460992908,25.172926333368345,2.781140670078923,0.3370875390639246,-6.339402868434429,139.27906976744185,141.0,141.0,19030.0,4.57240369376689,66.54059921005052,0.10677733248447782,13.645631773746508,4.859539287722887,97.0,23.0,16.714701695302082,125.72857142857143,7.775,0.471875,0.9953125,-3.3468080880648436,9.445307670656224,348.0,17.643055789623,5.999135533690445,2.8285345485186055,0.5533336173151168,62.084581778090815,72.4611111111111,9.336421307802375,122.01780303030303,90.0,8776.0,16784.0,0.6115308316349574,3.2,23.20365448504983,216.44285714285715,25.35273295003526,2.801005960579487,0.33418655893147337,-6.375506888302241,139.6310631229236,141.0,19008.0,4.571099232509389,67.23373045182187,0.10776289716785518,13.787773771389702,4.90241756407826,1.4875
